CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia_,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona _Renta,REV_Garantia,Averia_grave,QUEJA_CAC,EDAD_COCHE,COSTE_VENTA,km_anno,Mas_1_coche,Edad Cliente
4890,0,0,0,1,1,2,4,1,1,8,0,0,1,0,0,3,0,1.83,2169,0,1,26
5001,0,0,0,1,1,2,0,1,1,7,1,0,1,1,0,0,0,1.64,1590,0,0,18
5112,0,0,0,1,1,2,4,0,2,41,1,0,0,0,0,3,0,1.95,2670,0,1,26
5223,0,0,0,1,1,0,0,1,1,7,1,0,0,1,0,3,0,1.6,1590,0,0,22
5334,0,0,0,1,1,0,0,1,2,32,1,0,0,2,0,3,0,2.45,2892,0,1,28
5445,0,0,0,1,1,3,4,1,1,15,1,0,0,3,0,2,1,2.22,2208,0,1,32
5557,0,0,0,1,1,2,0,1,1,8,1,0,0,0,0,2,1,1.9,2228,0,0,18
5668,0,0,0,1,1,2,0,0,1,8,1,0,0,2,1,3,0,2.39,3850,6988,1,54
5779,0,0,0,1,1,2,0,0,1,48,1,0,0,2,0,2,1,2.18,2015,0,0,23
5890,0,0,0,1,1,0,0,1,1,8,0,0,0,0,0,2,1,1.91,1590,0,0,24
6001,0,0,0,1,1,3,0,1,1,32,0,0,0,2,0,3,0,2.35,1376,0,0,29
6112,0,0,0,1,1,2,0,1,2,8,0,0,1,0,0,2,1,1.8,3254,0,0,28
6223,0,0,0,1,1,2,0,1,1,8,1,0,0,3,1,3,0,2.31,2015,7006,0,46
6334,0,0,0,1,1,0,4,1,1,8,0,0,0,2,0,3,0,2.04,1376,0,0,24
6445,0,0,0,1,1,2,0,0,1,20,0,0,1,1,0,3,0,1.74,2169,0,0,22
6556,0,0,0,1,1,0,0,0,1,43,1,0,0,0,0,2,1,2.23,4720,0,0,31
6668,0,0,0,1,1,0,0,1,1,8,0,0,0,2,0,1,0,2.17,1376,0,0,25
6779,0,0,0,1,1,2,4,1,1,0,0,0,1,1,0,2,1,1.3,2169,0,0,23
6890,0,0,0,1,1,2,0,1,1,32,1,0,1,3,1,3,0,2.24,1376,22798,0,38
7001,0,0,0,1,1,3,4,0,1,32,0,0,0,1,0,2,1,1.64,1590,0,0,21
7112,0,0,0,1,1,2,0,1,1,32,1,0,0,2,1,3,0,2.27,2015,20292,0,45
7223,0,0,0,1,1,0,4,1,1,32,0,0,0,2,0,0,0,2.21,1376,0,0,20
7334,0,0,0,1,1,2,0,1,1,19,0,0,1,1,0,3,0,1.7,2169,0,0,31
7445,0,0,0,1,1,3,0,1,1,8,0,0,0,0,0,0,0,2.22,920,0,0,29
7556,0,0,0,1,1,2,0,1,1,32,0,0,1,1,0,3,0,1.71,2169,0,0,28
7667,0,0,0,1,1,0,4,0,1,32,0,0,0,0,0,0,0,1.9,3213,0,1,30
7779,0,0,0,1,1,2,0,1,1,45,0,0,1,2,0,3,0,1.89,2169,0,0,20
7890,0,0,0,1,1,0,0,0,1,19,0,0,0,3,1,3,0,2.34,1376,5249,0,41
8001,0,0,0,1,1,0,0,0,1,8,0,0,0,2,0,1,0,1.85,2234,0,0,28
8112,0,0,0,1,1,2,0,1,1,41,1,0,0,0,0,2,1,2.14,4513,0,0,25
8223,0,0,0,1,1,3,4,1,1,9,1,0,0,0,1,0,0,2.33,1376,12530,1,26
8334,0,0,0,1,1,3,0,1,1,41,0,0,0,3,1,2,1,2.31,1818,5439,0,25
8445,0,0,0,1,1,0,4,1,1,32,1,0,0,0,1,3,0,2.35,2208,13414,1,37
8556,0,0,0,1,1,3,4,0,1,41,0,0,0,0,0,0,0,2.35,1818,0,0,29
8667,0,0,0,1,1,2,0,0,1,22,1,0,1,0,1,3,0,2.43,1376,2385,1,20
8778,0,0,0,1,1,3,0,0,1,41,0,0,0,2,0,3,0,2.18,1818,0,0,31
8890,0,0,0,1,1,2,0,1,1,39,1,0,0,2,1,3,0,2.39,3850,9204,1,52
9001,0,0,0,1,1,2,0,1,1,43,0,0,1,1,0,0,0,1.87,2169,0,0,23
9112,0,0,0,1,1,2,0,1,1,19,1,0,0,0,0,1,0,2.27,2015,0,0,22
9223,0,0,0,1,1,0,4,1,1,27,0,0,0,1,1,3,0,2.26,1376,4432,0,21
9334,0,0,0,1,1,3,3,0,1,22,0,0,0,0,1,2,1,2.34,2594,6385,0,46
9445,0,0,0,1,1,0,4,1,1,17,0,0,0,3,1,1,0,2.39,1376,4727,0,39
9556,0,0,0,1,1,2,0,0,1,19,1,0,0,2,1,3,0,2.42,2015,13954,0,48
9667,0,0,0,1,1,0,0,0,1,32,1,0,0,2,1,3,0,2.42,2892,14000,1,38
9778,0,0,0,1,1,0,3,0,1,48,0,0,0,0,0,2,1,2.39,1376,0,0,18
9889,0,0,0,1,1,0,0,0,1,33,1,0,0,0,1,1,1,2.39,2892,8957,1,48
10001,0,0,0,1,1,2,0,0,1,52,1,0,0,0,1,2,1,2.27,1560,6602,0,44
10112,0,0,0,1,1,0,4,0,1,32,1,0,0,0,1,1,0,2.35,2208,25046,1,62
10223,0,0,0,1,1,2,0,1,1,4,1,0,1,0,1,2,1,2.42,1376,6048,0,37
10334,0,0,0,1,1,3,0,0,1,15,1,0,0,2,0,0,0,2.26,2208,0,1,19
10445,0,0,0,1,1,1,0,1,1,39,1,0,0,1,1,1,0,2.27,920,8398,0,39
10556,0,0,0,1,1,3,0,1,1,41,0,0,0,3,0,3,0,1.79,2031,0,0,22
10667,0,0,0,1,1,0,4,0,1,9,0,0,0,1,0,3,0,1.73,1590,0,0,28
10778,0,0,0,1,1,2,0,0,1,32,1,0,0,0,0,3,0,2.3,3850,0,0,30
10889,0,0,0,1,1,2,0,1,1,52,1,0,0,0,0,1,1,2.34,2015,0,1,24
11000,0,0,0,1,1,3,0,0,1,32,0,0,0,0,1,3,0,2.33,1376,1960,1,58
